Real Part,Frequency (Hz)
-314.77634111759403,1160.50801095045
-388.95269238038236,11657.419661189171
-399.376788622405,20138.916448974032
-469.24329969991777,11347.153074399872
-475.2184264955413,8231.151194477356
-481.0463138496125,9124.566253965353
-481.3801820168506,69.99115088000129
-483.398437364609,8527.64447563167
-485.8239482297297,9429.136003495456
-487.0834307252535,11947.391338694188
-489.90331039111334,15274.902735641877
-509.71851998207967,8823.507316308995
-514.65283333364,4021.0353039780484
-517.9347452114034,11067.512081797984
-520.2327002433703,19419.80480252301
-520.6570892674423,13631.822145654069
-568.0166863419349,2570.261235784756
-584.8125477204931,19646.904540959145
-595.4962153070774,14231.93663077577
-622.6751063530683,12233.217943032558
-633.0563355665599,5996.8090123141765
-633.2114727822545,18643.548539546726
-643.2655883552067,13055.866638694506
-649.9815308123125,10743.25020724705
-650.6011598073583,18925.298029378406
-653.6946761946947,15579.614631322907
-657.3662607403967,10460.563448599436
-661.3415029084191,19899.3259075135
-664.7067047957571,3153.11814464423
-664.9300330466249,13919.587336560517
-670.136709299115,9741.822954999176
-674.8989253361419,3684.0275778072228
-676.3661944104424,13344.815334174345
-688.0398467336508,15884.831733777246
-688.1763673671485,19139.98506609999
-692.323156494811,18392.982365590087
-694.6166738313923,17367.571626194236
-699.9458265357325,4303.466983211122
-719.7392496112104,903.4997743203492
-721.504447203999,7632.122376579234
-733.5605179252198,16444.56729376507
-734.9963562189116,5098.657116409004
-735.940054015653,16145.660098371502
-741.3176956991392,7931.337238239196
-755.1919896448662,5677.322079421231
-758.5681234483163,16725.237285074905
-775.6327592970774,6334.368646669152
-797.9265301521682,17770.85963857635
-803.9523180125145,1504.1858456743903
-819.9598987413519,5403.031583345851
-835.6183338920846,2892.737754176811
-849.4527926997398,7319.123117701019
-849.5389167439275,2236.194517113855
-869.2430025539361,18132.723017049186
-904.7302962651929,6987.151563719208
-912.6268669156998,14492.570472745823
-920.4034328653752,6618.009678680921
-932.1334410172067,17010.92101343073
-965.3219804683868,14970.579232254959
-1008.1637739892576,14822.507005569303
-1009.728166743047,12753.596038371337
-1035.7722844583586,10185.654327017082
-1092.8979610631527,339.59916061277227
-1102.3817897745234,9947.01865302317
-1157.334296268633,12505.613113092195
-1158.7995556207384,4686.003979550731
-1172.7894237784062,3374.354104532193
-1276.5855615003818,1786.4324482159082
-1289.3635374401165,485.264292939302
-1323.0777150138279,1991.7714830813597
-1756.131169221132,4781.983552736343
-1823.6425652215912,17770.33255392913
-2465.382351473214,6993.141330342931
-26212.85167695802,7645.579839800029
